titulo: Front-Matter | Autor: Autor não encontrado
titulo: Binary Flying Squirrel Optimizer for Feature Selection | Autor: Luiz Fernando Merli de Oliveira Sementille, Douglas Rodrigues, André Nunes de Souuza, João Paulo Papa
titulo: Fitness Landscape Analysis of TPOT Using Local Optima Network | Autor: Matheus Cândido Teixeira, Gisele Lobo Pappa
titulo: Optimization Strategies for BERT-Based Named Entity Recognition | Autor: Monique Monteiro, Cleber Zanchettin
titulo: FlexCon-CE: A Semi-supervised Method with an Ensemble-Based Adaptive Confidence | Autor: Arthur Medeiros, Arthur C. Gorgônio, Karliane Medeiros Ovidio Vale, Flavius L. Gorgônio, Anne Magály de Paula Canuto
titulo: Single Image Super-Resolution Based on Capsule Neural Networks | Autor: George Corrêa de Araújo, Artur Jordão, Helio Pedrini
titulo: Development of a Deep Learning Model for the Classification of Mosquito Larvae Images | Autor: Ramon Mayor Martins, Bruno Manarin Espíndola, Pedro Philippi Araujo, Christiane Gresse von Wangenheim, Carlos José de Carvalho Pinto, Gisele Caminha
titulo: A Simple and Low-Cost Method for Leaf Surface Dimension Estimation Based on Digital Images | Autor: Karla Gabriele Florentino da Silva, Jonas Magalhães Moreira, Gabriel Barreto Calixto, Luiz Maurílio da Silva Maciel, Márcio Assis Miranda, Leandro Elias Morais
titulo: Crop Row Line Detection with Auxiliary Segmentation Task | Autor: Igor Ferreira da Costa, Wouter Caarls
titulo: Multiple Object Tracking in Native Bee Hives: A Case Study with Jataí in the Field | Autor: Rodolfo R. V. Leocádio, Alan Kardek Rêgo Segundo, Gustavo Pessin
titulo: An Open Source Eye Gaze Tracker System to Perform Remote User Testing Evaluations | Autor: Marc G. Capdevila, Karine Aparecida P. Rodrigues, Camila F. Jardim, Renato M. Silva
titulo: Who Killed the Winograd Schema Challenge? | Autor: Hugo Neri, Fabio G. Cozman
titulo: Sabiá: Portuguese Large Language Models | Autor: Ramon Pires, Hugo Abonizio, Thales Sales Almeida, Rodrigo Nogueira
